letter,question,answer,difficulty
ن,المركز الكثيف جداً والصغير في قلب الذرة والذي يحتوي على البروتونات والنيوترونات وتتركز فيه معظم كتلة الذرة الكلية؟,نواة الذرة,متوسط
ن,الغاز غير المرئي وغير التفاعلي الذي يشكل النسبة العظمى (حوالي 78%) من مكونات الغلاف الجوي لكوكب الأرض وضروري لنمو النباتات؟,نايتروجين,متوسط
ن,الحبل العصبي السميك والطويل الذي يمتد داخل العمود الفقري للإنسان وينقل الإشارات الحركية والحسية بين الدماغ وباقي أجزاء الجسم؟,نخاع شوكي,متوسط
ن,الجائزة العالمية السويدية الأرقى والأشهر على الإطلاق والتي تمنح سنوياً للعلماء والمفكرين في مجالات السلام والفيزياء والكيمياء والأدب؟,نوبل,صعب
هـ,التقنية الحيوية المتقدمة التي تتضمن التلاعب وتعديل الجينات في الحمض النووي للكائن الحي لإنتاج صفات جديدة أو محاصيل مقاومة للأمراض؟,هندسة وراثية,متوسط
هـ,مادة كيميائية تفرزها الغدد الصماء في الدم لتنظيم وظائف وعمليات فسيولوجية محددة في الجسم كالنمو والنوم وعمليات الحرق؟,هرمون,متوسط
هـ,البروتين الغني بالحديد والموجود في خلايا الدم الحمراء والمسؤول عن الارتباط بالأكسجين ونقله من الرئتين إلى كافة أنسجة الجسم؟,هيموغلوبين,متوسط
هـ,العنصر الكيميائي الأخف وزناً والأكثر وفرة في الكون بأسره ويعتبر الوقود الأساسي لاندماج النجوم واشتعالها كشمسنا؟,هيدروجين,متوسط
هـ,نظام الكتابة المصور والمعقد الذي استخدمه الفراعنة في مصر القديمة لنقش نصوصهم المقدسة وتاريخهم على جدران المعابد والمسلات؟,هيروغليفية,متوسط
هـ,المنظمة الدولية والمنبر السياسي العالمي الأكبر الذي تأسس بعد الحرب العالمية الثانية بهدف حفظ السلم والأمن الدوليين وتنمية العلاقات بين الدول؟,هيئة أمم متحدة,صعب
هـ,المنطقة الجغرافية المرتفعة والواسعة في وسط آسيا والتي تلقب بـ(سقف العالم) لارتفاعها الشاهق وتقع خلف جبال الهمالايا؟,هضبة التبت,متوسط
هـ,مجموعة الخصائص والثقافة والتاريخ واللغة التي تميز شعباً معيناً وتربطهم بوطنهم وتعمق انتماءهم له وتسمى الانتماء أو الـ؟,هوية وطنية,متوسط
و,انتقال الصفات البيولوجية والجسمانية من الآباء إلى الأبناء عبر الأجيال بواسطة الجينات والحمض النووي ويسمى علم الـ؟,وراثة,متوسط
و,الجهة الحكومية والسيادية في الدولة المسؤولة عن إدارة وتوجيه العلاقات الدبلوماسية والسياسية مع الدول الأجنبية وحماية مصالحها بالخارج؟,وزارة خارجية,صعب
و,المرض المعدي شديد الخطورة وسريع الانتشار والذي يعبر الحدود الجغرافية ليصيب أعداداً هائلة من البشر في قارات مختلفة كطاعون العصور الوسطى؟,وباء عالمي,صعب
و,الإعلان أو الميثاق القانوني والرسمي المكتوب الذي يضمن ويثبت الحقوق الأساسية والطبيعية للإنسان وحرياته غير القابلة للمساس؟,وثيقة حقوق,متوسط
و,الخداع البصري الذي يخدع نظام الرؤية والدماغ البشري ليجعله يرى الأشياء أو الأبعاد أو الألوان على غير حقيقتها وواقعها المادي؟,وهم بصري,متوسط
و,الوكالة الفيدرالية الأمريكية المستقلة والأشهر عالمياً والمسؤولة عن برامج أبحاث الفضاء والطيران المدني واستكشاف المجموعة الشمسية؟,وكالة ناسا,متوسط
و,حالة الانسجام السياسي والاجتماعي الشامل بين طوائف وأحزاب الشعب الواحد بعد فترات النزاع الأهلي لضمان استقرار وتقدم البلاد؟,وفاق وطني,متوسط
و,المصطلح الذي يطلق على مصادر الطاقة المستخرجة من باطن الأرض كالفحم والنفط والغاز الناتجة عن تحلل الكائنات الحية لملايين السنين؟,وقود أحفوري,متوسط
ي,منظمة الأمم المتحدة للتربية والعلم والثقافة والتي تهدف لإحلال السلام من خلال التعاون الدولي وحماية مواقع التراث العالمي؟,يونسكو,متوسط
ي,القائد العسكري والديكتاتور الروماني الأعظم الذي أسقط الجمهورية الرومانية وتولى السلطة المطلقة واغتيل لاحقاً بخيانة في مجلس الشيوخ؟,يوليوس قيصر,متوسط
ي,الظاهرة الجيولوجية الطبيعية المذهلة التي يندفع ويتدفق فيها الماء المغلي والبخار من باطن الأرض إلى السطح على شكل نافورة قوية؟,ينبوع حار,متوسط
ي,الحجر الكريم النفيس والصلب جداً الذي يتميز بلونه الأزرق الساحر ويعتبر من أغلى الأحجار الكريمة الأربعة بعد الألماس؟,ياقوت أزرق,متوسط
ي,الصباغ الطبيعي الأخضر والأساسي الموجود في أوراق النباتات والمسؤول عن امتصاص طاقة الشمس وإتمام عملية البناء الضوئي ويسمى كلوروفيل أو؟,يخضور,صعب
ي,العنصر الكيميائي الطبيعي الذي يضاف عادة لملح الطعام لتعويض نقصه في الجسم حيث يؤدي نقصه لتضخم واضطراب الغدة الدرقية؟,يود,متوسط
ي,المصطلح الفلسفي والأدبي الذي أطلقه السير توماس مور ليصف المجتمع المثالي والخيالي الفاضل والخالي من الشرور والفقر والجرائم؟,يوتوبيا,متوسط
ي,الجزء المطوي والبارز أعلى القميص أو المعطف والذي يحيط بالرقبة ويعتبر جزءاً من أناقة الملابس الرسمية وعكسه الأكمام؟,ياقة,متوسط
أ,ابن الملك وصاحب السمو الذي يتولى مهام قيادية وإدارية في الدولة؟,أمير,متوسط
أ,حالة الجهل بالقراءة والكتابة التي تكافحها الدول لرفع مستوى وعي شعوبها؟,أمية,متوسط
أ,الحروف والرموز المتسلسلة التي تشكل أساس اللغة المكتوبة؟,أبجدية,متوسط
أ,أسطوانة مجوفة تستخدم لنقل السوائل والغازات كالمياه والنفط؟,أنبوب,متوسط
أ,اضطراب وحالة مزعجة تتمثل في صعوبة الاستغراق في النوم ليلاً؟,أرق,متوسط
أ,الغريزة الفطرية العظيمة والعاطفة العميقة التي تربط المرأة بطفلها؟,أمومة,متوسط
أ,الملابس والتصاميم المبتكرة التي تعكس ثقافة المجتمعات وتطور الموضة؟,أزياء,متوسط
أ,مجموعة متقاربة من الجزر المتجاورة في البحر أو المحيط؟,أرخبيل,متوسط
أ,لون مميز وفخم ينتج عن مزج اللونين الأحمر والأزرق؟,أرجواني,سهل
أ,الخط الدائري الوهمي الذي يبدو فيه وكأن السماء تلتقي بسطح الأرض؟,أفق,متوسط
ب,مسطح مائي واسع محاط باليابسة من جميع الجهات؟,بحيرة,متوسط
ب,نوع من الأزهار ذات الرائحة العطرة واللون الذي يمزج بين الأحمر والأزرق؟,بنفسج,متوسط
ب,وعاء أسطواني كبير يصنع من المعدن أو الخشب ويستخدم لتخزين النفط وتصديره؟,برميل,متوسط
ب,الشخص الذي يؤدي حركات بهلوانية واستعراضية ويثير الضحك في السيرك؟,بهلوان,متوسط
ب,سفينة ضخمة تعمل بالطاقة البخارية وتستخدم لنقل الركاب والبضائع عبر البحار؟,باخرة,متوسط
ب,الدليل القاطع والحجة القوية التي تثبت صحة الادعاء أو النظرية؟,برهان,متوسط
ب,المحيط الطبيعي بما فيه من ماء وهواء وتربة وكائنات حية الذي نعيش فيه؟,بيئة,متوسط
ب,الأثر المميز والفريد الذي تتركه خطوط الأصابع وتستخدم لإثبات الهوية الشخصية؟,بصمة,متوسط
ب,الشخص الذي يسكن الصحراء ويعتمد على الرعي والتنقل وراء الماء والكلأ؟,بدوي,متوسط
ب,آلة موسيقية نحاسية نفخية تصدر صوتاً عالياً كانت تستخدم قديماً في الحروب؟,بوق,متوسط
ت,الفراغ أو المساحة الفارغة داخل الجسم أو العضو الطبيعي؟,تجويف,سهل
ت,إفراز الجسم للماء والأملاح لتنظيم وتبريد درجة حرارته عند الشعور بالحر؟,تعرق,متوسط
ت,عملية تناول الطعام واستخلاص العناصر المفيدة منه لبناء ونمو الجسم؟,تغذية,متوسط
ت,الادعاء الباطل بمعرفة الغيب والمستقبل من خلال قراءة حركة النجوم والكواكب؟,تنجيم,متوسط
ت,إلحاق الأذى والألم الجسدي أو النفسي الشديد بالشخص لإجباره على الاعتراف؟,تعذيب,متوسط
ت,الارتفاع المستمر والمفرط في أسعار السلع والخدمات وتراجع القيمة الشرائية للعملة؟,تضخم,متوسط
ت,التخفي وتغيير المظهر واللون للاندماج مع البيئة المحيطة لتجنب الأعداء؟,تمويه,سهل
ت,فن وعملية ترويج المنتجات والخدمات لجذب العملاء وزيادة المبيعات؟,تسويق,متوسط
ت,حالة الاستقرار وتساوي الثقل والجهد بين الأطراف المتعاكسة؟,توازن,متوسط
ت,المنشأة الكبرى المخصصة لصناعة وتخزين الأسلحة والذخائر والمعدات العسكرية؟,ترسانة,متوسط
ت,إدخال أو إخراج البضائع والممنوعات عبر الحدود بشكل سري وغير قانوني؟,تهريب,متوسط
ث,كسر رياضي يمثل جزأين من أصل ثلاثة أجزاء متساوية؟,ثلثان,متوسط
ث,كثرة الكلام والحديث المتواصل في أمور لا فائدة منها ولا نفع؟,ثرثرة,متوسط
ث,النظرة الحادة جداً أو الرأي السديد الذي يخترق الأمور ويعرف بواطنها يقال بصر؟,ثاقب,متوسط
ث,صفة للشيء السميك والعريض الذي يصعب اختراقه وعكسه الرقيق والرفيع؟,ثخين,متوسط
ث,صفة تطلق على اللون الأبيض الناصع أو الطقس شديد البرودة والتجمد؟,ثلجي,سهل
ث,التراب الندي والمبلل بالماء ويطلق مجازاً على الأرض التي يدفن فيها الميت؟,ثرى,متوسط
ث,حالة الغنى الفاحش وكثرة الأموال والممتلكات والعيش في رغد ورفاهية؟,ثراء,متوسط
ج,حشرات ضارة جداً تنتقل في أسراب عملاقة وتقضي على المحاصيل الزراعية تماماً؟,جراد,متوسط
ج,رياضة أولمبية تعتمد على القوة والمرونة الهائلة وأداء حركات رشيقة ومعقدة؟,جمباز,متوسط
ج,الشخص المكلف بتنفيذ أحكام الإعدام أو العقوبات الجسدية القاسية في الساحات؟,جلاد,متوسط
ج,فقدان العقل والاضطراب النفسي الشديد الذي يفقد الإنسان قدرته على التمييز؟,جنون,متوسط
ج,الفعل المخالف للقانون والأخلاق والذي يستوجب العقاب الرادع والسجن؟,جريمة,متوسط
ج,الكائن الحي في مراحله الأولى داخل الرحم وقبل ولادته وخروجه للحياة؟,جنين,متوسط
ج,الشوط الواحد أو المرحلة المتكررة في الألعاب الرياضية والمفاوضات السياسية؟,جولة,متوسط
ج,الحشود الكبيرة من الناس والمشجعين الذين يحضرون الفعاليات والمباريات؟,جمهور,متوسط
ج,الخثرة الدموية والتصلب الذي يحدث في الأوعية الدموية ويعيق تدفق الدم؟,جلطة,متوسط
ج,الثوب الواسع والفضفاض الذي يغطي كامل الجسد ويرتدى في بعض الثقافات؟,جلباب,متوسط
ج,الجهة الحكومية المسؤولة عن مراقبة وفرض الرسوم على البضائع الداخلة للبلاد؟,جمارك,متوسط
ح,عملية جني وقطف المحاصيل الزراعية بعد نضجها واكتمال نموها في الحقول؟,حصاد,متوسط
ح,الفجوة العميقة والمحفورة في الأرض والتي قد تستخدم لزراعة شجرة أو كفخ؟,حفرة,متوسط
ح,القدرة الفطرية على التنبؤ وفهم الأمور بسرعة دون الاعتماد على التفكير المنطقي؟,حدس,متوسط
ح,البقايا والأجزاء المحطمة والمتناثرة للسفن أو الطائرات بعد تحطمها وغرقها؟,حطام,متوسط
ح,مهمة المراقبة والحماية الأمنية المستمرة للمنشآت والشخصيات المهمة من الخطر؟,حراسة,متوسط
ح,كائن رخوي بطيء جداً يحمل صدفة لولبية على ظهره ليختبئ بداخلها؟,حلزون,متوسط
ح,المساحة المربعة والمحاطة بالحبال المخصصة لنزالات الملاكمة والمصارعة؟,حلبة,متوسط
ح,الحماية القانونية التي تمنع محاسبة الدبلوماسيين أو محاكمتهم أثناء عملهم؟,حصانة,متوسط
خ,القصة الأسطورية والاعتقاد الباطل الذي لا يستند إلى أي أساس علمي أو ديني؟,خرافة,متوسط
خ,الأعضاء التنفسية المتفرعة التي تستخدمها الأسماك لاستخلاص الأكسجين تحت الماء؟,خياشيم,متوسط
خ,الحاوية الكبيرة والضخمة التي تبنى لتجميع وتخزين المياه أو الوقود لحين الحاجة؟,خزان,متوسط
خ,الطرف المنافس والمعادي في المعركة أو نسبة التخفيض المالي على أسعار السلع؟,خصم,متوسط
خ,فقدان المال أو الهزيمة في المباريات وعدم التمكن من تحقيق الفوز والنجاح؟,خسارة,متوسط
خ,الذنب العظيم والفعل المحرم والمشين الذي يرتكبه الإنسان ويستوجب التوبة؟,خطيئة,متوسط
خ,القدرة العالية للتربة على إنتاج المحاصيل أو قدرة الكائنات على التكاثر والإنجاب؟,خصوبة,متوسط
خ,الوحدة البنائية الأساسية في جسم الإنسان أو الغرفة السداسية التي يبنيها النحل؟,خلية,متوسط
د,الخراب الهائل والانهيار الذي يلحق بالمباني والمدن بسبب الكوارث والحروب؟,دمار,متوسط
د,الأسباب والمحفزات النفسية التي تدفع الإنسان للقيام بفعل معين أو ارتكاب جريمة؟,دوافع,متوسط
د,الشعور بالحرارة اللطيفة والمريحة وعكسه الشعور بالبرد القارس والارتجاف؟,دفء,متوسط
د,المواد العضوية والشحوم المتراكمة في الجسم والتي تعطي طاقة عالية عند حرقها؟,دهون,متوسط
د,فن تزيين وتنسيق وتجميل المساحات الداخلية للمنازل باستخدام الأثاث والألوان؟,ديكور,متوسط
د,اللعبة التي تصنع على شكل إنسان أو طفل صغير لتسلية الأطفال واللعب بها؟,دمية,متوسط
د,تسديد المبالغ المالية مقابل المشتريات أو استخدام القوة لتحريك شيء للأمام؟,دفع,متوسط
د,الشخص أو الجهة أو البنك الذي يمنح القروض المالية ويطالب المدين بسدادها؟,دائن,متوسط
د,العالم الإنجليزي الشهير الذي وضع نظرية التطور والانتقاء الطبيعي المثيرة للجدل؟,داروين,متوسط
د,عملية البحث والتعلم المستمر واكتساب المعرفة في المدارس والجامعات؟,دراسة,متوسط
د,الشعور بالدوخة وفقدان التوازن والإحساس بأن المكان يدور من حولك؟,دوار,متوسط
ذ,عملية نحر وقطع وريد الحيوان المحلل أكله لتجهيز لحمه وتناوله شرعاً؟,ذبح,سهل
ذ,الخصائص والصفات البيولوجية التي تميز الرجال عن النساء في الكائنات الحية؟,ذكورة,متوسط
ذ,حاسة التذوق أو القدرة الفنية على تمييز الأشياء الجميلة وتقدير الفنون؟,ذائقة,متوسط
ذ,صفة تطلق على الشخص القبيح في أخلاقه أو مظهره وعكسه الوسيم والحسن؟,ذميم,متوسط
ذ,الموجات والترددات الصوتية أو الكهرومغناطيسية التي تنتقل في الفراغ أو الهواء؟,ذبذبات,متوسط
ذ,الشخص المهان والمكسور الذي فقد كرامته وعزته وخضع لسلطة ظالمة؟,ذليل,متوسط
ذ,صفة تطلق على المجهود والتفكير الذي يعتمد على العقل والدماغ وليس العضلات؟,ذهني,متوسط
ذ,الدفاع المستميت والمقاتلة لحماية الأهل والوطن والمقدسات من أي اعتداء؟,ذود,متوسط
ر,المبالغ المالية التي تدفع مقابل الخدمات الحكومية أو الأعمال الفنية واللوحات؟,رسوم,متوسط
ر,الصدى والصوت المتكرر الذي يصدر عند ضرب الأجسام المعدنية كالجرس؟,رنين,متوسط
ر,الانتقال والسفر من مكان إلى آخر بغرض الاستكشاف أو الاستجمام والراحة؟,رحلة,متوسط
ر,العطف والرأفة والشفقة على الضعفاء والمحتاجين وهي من أعظم صفات الخالق؟,رحمة,متوسط
ر,الرجل المتدين الذي يكرس حياته للعبادة في الأديرة وينعزل عن ملذات الدنيا؟,راهب,متوسط
ر,الاتفاق والمقامرة على توقع نتيجة معينة كسباق الخيل بحيث يكسب الفائز الجائزة؟,رهان,متوسط
ر,الرياضة العريقة التي تعتمد على تصويب السهام أو الرصاص نحو الهدف بدقة تامة؟,رماية,متوسط
ر,العلم والبيرق الذي يرفع عالياً ليرمز للدولة أو الجيش أو القبيلة في الحروب؟,راية,متوسط
ر,الأجور والمبالغ المالية التي تدفع للموظفين شهرياً مقابل أعمالهم وجهودهم؟,رواتب,متوسط
ر,الخوف الشديد والفزع الذي يصيب الإنسان عند مواجهة خطر مميت أو مشاهدة أمر مخيف؟,رعب,متوسط
ر,الصاحب والمرافق الذي يلازمك في سفرك وحياتك وتأنس بوجوده وتثق به؟,رفيق,متوسط
ر,الميل الشديد والاشتياق لامتلاك شيء ما أو تحقيق هدف معين في الحياة؟,رغبة,متوسط
ز,فصيلة من الحيوانات ذوات الدم البارد التي تتحرك بالزحف كالثعابين والتماسيح؟,زواحف,متوسط
ز,مهنة وحرفة حرث الأرض وبذر البذور لسد حاجة الإنسان من الغذاء والمحاصيل؟,زراعة,متوسط
ز,الأشياء الجميلة من حلي وملابس التي تستخدم للتجمل وتحسين المظهر الخارجي؟,زينة,متوسط
ز,عنصر معدني أساسي يستخدم في جلفنة الحديد لحمايته من الصدأ ومهم لجهاز المناعة؟,زنك,متوسط
ز,السجادة الفاخرة والمزخرفة التي تفرش على الأرض للزينة والجلوس عليها وتسمى؟,زربية,متوسط
ز,بهار غالي الثمن جداً يستخرج من زهرة بنفسجية ويعطي الطعام لوناً أصفراً ونكهة مميزة؟,زعفران,متوسط
ز,شدة البرد القارس والصقيع المؤلم الذي يخترق العظام ولا يطاق؟,زمهرير,متوسط
ز,الفئة أو المجموعة من الناس أو التصنيف الطبي الذي يحدد نوع فصيلة الدم كـ O و A؟,زمرة,متوسط
ز,ترك ملذات الدنيا ومفاتنها طوعاً والاكتفاء بالقليل تقرباً لله وطلباً للآخرة؟,زهد,متوسط
ز,القارب الصغير والخفيف الذي يستخدم للتنقل والصيد السريع في الأنهار والبحيرات؟,زورق,متوسط
ز,تجمهر وتكدس أعداد كبيرة من السيارات أو الأشخاص في مكان واحد مما يعيق الحركة؟,زحام,متوسط
س,المادة الكيميائية أو العضوية القاتلة التي تفرزها الأفاعي أو تصنع في المختبرات؟,سم,متوسط
س,المادة العضوية أو الكيميائية التي تضاف للتربة الزراعية لزيادة خصوبتها وتغذية النبات؟,سماد,متوسط
س,المنافسة الرياضية لمعرفة من يصل إلى خط النهاية أولاً راكضاً أو راكباً؟,سباق,متوسط
س,السلطة العليا والمطلقة للدولة على أراضيها وقراراتها دون تدخل خارجي؟,سيادة,متوسط
س,حالة المادة التي تأخذ شكل الوعاء الذي توضع فيه وتتدفق بسهولة كالماء والزيت؟,سائل,متوسط
س,حالة الوئام والأمن وغياب الحروب والنزاعات بين الدول والشعوب وعكسه الحرب؟,سلام,متوسط
س,السور المعدني أو الخشبي الذي يحيط بالحديقة أو المنزل لحمايته وتحديد حدوده؟,سياج,متوسط
س,التصرفات والأفعال وردود الأفعال التي يقوم بها الإنسان تجاه المواقف المختلفة؟,سلوك,متوسط
س,المفروشات الأرضية المصنوعة من الخيوط المنسوجة والمزخرفة وتوضع للتدفئة والزينة؟,سجاد,متوسط
س,فن إدارة شؤون الدولة وعلاقاتها الداخلية والخارجية لتحقيق مصالحها العليا؟,سياسة,متوسط
س,الغطاء العلوي الذي يغلق المبنى أو الغرفة من الأعلى ويحميها من الأمطار والشمس؟,سقف,متوسط
ش,المنهج والأحكام الدينية والقانونية التي شرعها الله لتنظيم حياة العباد؟,شريعة,متوسط
ش,الخط الضوئي الرفيع والمستقيم المنبعث من مصدر مضيء كالشمس أو المصباح؟,شعاع,متوسط
ش,السطح الزجاجي أو الإلكتروني الذي تعرض عليه الصور والفيديوهات في التلفاز والحاسوب؟,شاشة,متوسط
ش,الوثيقة الرسمية التي تثبت اجتياز الطالب للمرحلة الدراسية أو إقرار الشخص بالحق في المحكمة؟,شهادة,متوسط
ش,عملية دفع المال مقابل الحصول على السلع والمنتجات وعكسها عملية البيع؟,شراء,متوسط
ش,الأذى والفساد والظلم الذي يلحق بالآخرين وهو عكس الخير تماماً؟,شر,متوسط
ش,القطعة الصغيرة والمتطايرة من المعادن أو الزجاج نتيجة لانفجار قوي أو تحطم؟,شظية,متوسط
ش,الرغبة الشديدة والميل النفسي والجسدي لتناول الطعام بشره؟,شهية,متوسط
ش,مرض فيروسي خطير ومعدٍ يصيب الصغار ويؤدي إلى إعاقة حركية دائمة؟,شلل أطفال,متوسط
ش,كمية البضائع المعبأة والمنقولة عبر السفن والطائرات لغرض التجارة والتصدير؟,شحنة,متوسط
ص,الشحنة الكهربائية التفريغية الهائلة التي تضرب الأرض من السحب الرعدية بقوة مدمرة؟,صاعقة,متوسط
ص,الحرفي المتخصص والمحترف في تشكيل وبيع المجوهرات والحلي الذهبية والفضية؟,صائغ,متوسط
ص,هواية أو مهنة تتبع واقتناص الحيوانات البرية والأسماك للغذاء أو الترفيه؟,صيد,متوسط
ص,حالة المادة القاسية والمتماسكة التي لا يتغير شكلها بسهولة كالحديد والحجر؟,صلب,متوسط
ص,المادة اللزجة الطبيعية أو الصناعية التي تستخدم للصق الأشياء وربطها ببعضها بقوة؟,صمغ,متوسط
ص,الصفائح والرقائق المعدنية الرقيقة التي تصنع منها المعلبات وعلب حفظ الطعام؟,صفيح,متوسط
ص,حالة السلامة والعافية الجسدية والنفسية والخلو التام من الأمراض والأوجاع؟,صحة,متوسط
ص,القول أو الفعل الصحيح والمطابق للحق والمنطق وعكسه الخطأ والزلل؟,صواب,متوسط
ص,الأثر النفسي أو الجسدي العنيف والمفاجئ الناتج عن حادث مروع أو خبر فاجع؟,صدمة,متوسط
ص,النزاع والمواجهة العنيفة والمستمرة بين طرفين أو فكرتين مختلفتين للسيطرة؟,صراع,متوسط
ص,الانتقال والارتفاع من مستوى أدنى إلى مستوى أعلى وعكسه النزول والهبوط؟,صعود,متوسط
ض,الانحراف والابتعاد التام عن طريق الحق والهدى والوقوع في الباطل؟,ضلال,متوسط
ض,الأشعة الذهبية الساطعة المنبعثة من النجم المركزي والتي تمد كوكبنا بالحرارة والحياة؟,ضوء الشمس,متوسط
ض,الحقد الدفين والعداوة الشديدة المكتومة في القلب تجاه شخص آخر؟,ضغينة,متوسط
ض,الحجم الهائل والكبير جداً للشيء والذي يثير الدهشة والاستغراب وعكسه الضآلة؟,ضخامة,متوسط
ض,الأذى والتلف والخسارة التي تلحق بالأشخاص أو الممتلكات نتيجة حادث أو خطأ؟,ضرر,متوسط
ض,استخدام اليد أو الأداة للاعتداء الجسدي أو إحدى العمليات الحسابية الأساسية الأربع؟,ضرب,متوسط
ض,الكفالة والتعهد الذي يقدمه البائع لإصلاح أو استبدال السلعة المعيبة خلال فترة محددة؟,ضمان,متوسط
ض,الشعور بالانزعاج والاختناق أو ضآلة مساحة المكان وعدم اتساعه وعكسه الاتساع؟,ضيق,متوسط
ط,كائنات ونباتات مائية بسيطة خضراء اللون تنمو وتطفو على سطح المياه الراكدة؟,طحالب,متوسط
ط,الصف الطويل من الناس الذين يقفون بانتظام خلف بعضهم بانتظار دورهم؟,طابور,متوسط
ط,عملية نقل النصوص والرسومات من الحاسوب إلى الورق باستخدام الحبر والآلات؟,طباعة,متوسط
ط,عملية إعداد وتجهيز الطعام وتسويته باستخدام الحرارة والنار ليصبح قابلاً للأكل؟,طهي,متوسط
ط,الشعور بالراحة النفسية والسكينة التامة وزوال القلق والخوف من القلب؟,طمأنينة,متوسط
ط,الدوران والمشي بشكل دائري حول الكعبة المشرفة سبعة أشواط في الحج والعمرة؟,طواف,متوسط
ط,القوالب المستطيلة المصنوعة من الطين المحروق والتي تستخدم في بناء الجدران والمنازل؟,طوب,متوسط
ط,الظلم وتجاوز الحد في استخدام السلطة واستعباد الناس وقهرهم بقسوة؟,طغيان,متوسط
ط,العلبة أو الصندوق المغلف والمحتوي على أغراض يتم إرساله وتوصيله عبر شركات الشحن؟,طرد بريدي,متوسط
ط,الحلقة الدائرية التي توضع حول العنق للزينة أو حول رقبة الحيوان للتحكم به؟,طوق,متوسط
ط,كل ما يأكله الإنسان والحيوان من مأكولات متنوعة ليسد جوعه ويستمد منه الطاقة؟,طعام,متوسط
ط,المستويات المتراكمة والمصطفة فوق بعضها البعض كـ ... الغلاف الجوي أو المجتمع؟,طبقات,متوسط
ط,الكون المحيط بنا بكل ما فيه من جبال وأنهار وحيوانات بعيداً عن التدخل والصناعة البشرية؟,طبيعة,متوسط
ظ,الأغلفة الورقية للرسائل أو الأوضاع والأحوال المحيطة بالإنسان وتؤثر في قراراته؟,ظروف,متوسط
ظ,الشخص المنتصر والرابح الذي تفوق على أعدائه وخصومه في المعركة ونال المجد؟,ظافر,متوسط
ظ,المكان البارد والمريح الذي تغطيه الأشجار الكثيفة وتحجب عنه أشعة الشمس الحارقة يقال مكان؟,ظليل,متوسط
ظ,الجزء الصلب الذي يغطي أطراف أصابع اليدين والقدمين للحماية ويقصه الإنسان بانتظام؟,ظفر,متوسط
ظ,الوقت الذي تنتصف فيه الشمس في كبد السماء وتكون في أعلى نقطة وأشد حرارة؟,ظهرا,متوسط
ظ,وضع الشيء في غير موضعه والتعدي على الحقوق والجور وهو من أعظم الذنوب وعكسه العدل؟,ظلم,متوسط
ظ,الشخص أو الفكر الذي يرفض العلم والتنوير ويفضل البقاء في الجهل والتخلف يقال فكر؟,ظلامي,متوسط
ظ,الشخص خفيف الظل وصاحب النكتة والفكاهة الذي يدخل السرور والابتسامة على قلوب الآخرين؟,ظريف,متوسط
ظ,الشخص الذي يشعر بالعطش الشديد والجفاف في حلقه ويحتاج لشرب الماء فوراً؟,ظمآن,متوسط
ع,إعطاء كل ذي حق حقه والمساواة بين الناس أمام القانون والابتعاد عن الظلم والمحاباة؟,عدالة,متوسط
ع,الجزاء الرادع والمؤلم الذي يوقع على الشخص نتيجة لارتكابه جريمة أو مخالفة للقانون؟,عقاب,متوسط
ع,ضم الشخص الآخر بين الذراعين بقوة للتعبير عن المحبة العميقة أو الشوق عند اللقاء؟,عناق,متوسط
ع,وسيلة نقل بدائية ذات عجلات تجرها الخيول أو الدواب لنقل الأشخاص والبضائع قديماً؟,عربة,متوسط
ع,فاكهة صيفية لذيذة تنمو على شكل عناقيد متدلية وتتنوع ألوانها بين الأخضر والأحمر والأسود؟,عنب,متوسط
ع,الشخص أو الشيء المفرط في الطول والضخامة والذي يتجاوز الحجم الطبيعي بكثير؟,عملاق,متوسط
ع,الشخص الذي يتمتع بذكاء فائق واستثنائي وقدرة مذهلة على الابتكار والاختراع؟,عبقري,متوسط
ع,الخصم والطرف المعادي والمنافس الذي يتربص بك ويسعى لإلحاق الضرر والهزيمة بك وعكسه الصديق؟,عدو,متوسط
ع,الاتفاقية القانونية الملزمة بين طرفين أو أكثر أو الفترة الزمنية التي تعادل عشر سنوات متتالية؟,عقد,متوسط
ع,حشرة مفصلية سامة وخطيرة تتميز بإبرة لاسعة في نهاية ذيلها وتعيش في الصحاري والمناطق الجافة؟,عقرب,متوسط
ع,القطعة الزجاجية المحدبة أو المقعرة التي تكسر الضوء وتستخدم في النظارات والكاميرات لتوضيح الرؤية؟,عدسة,متوسط
غ,اختفاء الشمس تدريجياً تحت خط الأفق في المساء إيذاناً بانتهاء النهار ودخول الليل؟,غروب,متوسط
غ,العقوبة المالية التي تفرض وتدفع كتعويض عن ارتكاب مخالفة مرورية أو قانونية بسيطة؟,غرامة,متوسط
غ,الهجوم العسكري المسلح واقتحام أراضي دولة أخرى بالقوة للسيطرة عليها ونهب ثرواتها؟,غزو,متوسط
غ,الموت أو الاختناق نتيجة الانغمار الكامل تحت سطح الماء وعدم القدرة على التنفس؟,غرق,متوسط
غ,الشعور المزعج بالانزعاج أو الحسد عند رؤية شخص آخر يمتلك ما تتمناه لنفسك أو اهتمام من تحب؟,غيرة,متوسط
غ,الطبقة الخارجية أو الورقة السميكة التي تغطي وتحمي الكتاب أو المجلة أو الكوكب؟,غلاف,متوسط
غ,حالة الإبهام وعدم الوضوح والسرية التي تكتنف بعض القضايا والجرائم ويصعب تفسيرها؟,غموض,متوسط
غ,الشخص المدرب والمجهز بمعدات التنفس للسباحة والعمل في أعماق البحار لاكتشافها؟,غواص,متوسط
