letter,question,answer
ط,الانفصال الرسمي والشرعي بين الزوجين وإنهاء عقد الزواج بينهما؟,طلاق
ط,الشخص الذي لا يقتنع بما لديه ويرغب دائماً في أخذ المزيد وبأشياء الآخرين؟,طماع
ط,الرغبة الشديدة والدافع القوي لتحقيق أهداف عالية ونجاحات كبيرة في المستقبل؟,طموح
ط,وعاء معدني عميق بغطاء يستخدم لطبخ وسلق الطعام على النار وتسمى قدر أو؟,طنجرة
ط,تراب مختلط بالماء يشكل مادة لزجة قابلة للتشكيل كانت تستخدم في البناء قديماً؟,طين
ط,الشخص المؤهل والمدرب الذي يقود الطائرات المدنية أو الحربية في الجو؟,طيار
ط,الألوان السبعة الناتجة عن تحلل الضوء الأبيض مثل ألوان قوس قزح؟,طيف
ط,مرض وبائي بكتيري فتاك ومعدٍ اجتاح العالم قديماً وسمي بالموت الأسود؟,طاعون
ظ,حالة تنعدم فيها الرؤية تماماً لغياب مصدر الضوء وعكسها النور؟,ظلام
ظ,غلاف ورقي يطوى ويوضع بداخله الخطاب أو الرسالة لإرساله بالبريد؟,ظرف
ظ,انعكاس معتم لجسم يحجب مسار الضوء ويظهر على الأرض بجانبه؟,ظل
ظ,الجزء الخلفي من جسم الإنسان الممتد من أسفل العنق إلى الخصر؟,ظهر
ظ,المادة الصلبة التي تنبت وتغطي أطراف أصابع الإنسان للوقاية؟,ظفر
ظ,حدث طبيعي أو غير اعتيادي يمكن ملاحظته ودراسته مثل الكسوف والخسوف؟,ظاهرة
ظ,الشعور الشديد بالحاجة إلى شرب الماء وجفاف الحلق ويسمى عطش أو؟,ظمأ
ظ,الشخص الذي يسلب حقوق الآخرين ويعتدي عليهم ولا يعدل بينهم؟,ظالم

ظ,وقت منتصف النهار واشتداد حرارة الشمس العمودية يسمى وقت الـ؟,ظهيرة
ع,الجزء الصلب الداخلي الأبيض الذي يشكل هيكل جسم الإنسان؟,عظم
ع,سائل يستخرج بعصر الفواكه ويعتبر مشروباً لذيذاً ومنعشاً؟,عصير
ع,النباتات الخضراء القصيرة التي تغطي أرضية الملاعب والحدائق؟,عشب
ع,سائل ذو رائحة طيبة يستخرج من الزهور والمواد العطرية للتعطر؟,عطر
ع,آلة موسيقية وترية شرقية شهيرة تصنع من الخشب تشبه الكمثرى؟,عود
ع,حشرة مفصلية تبني شباكاً حريرية هندسية لاصطياد فرائسها؟,عنكبوت
ع,الجزء الدائري الذي تدور عليه السيارات والآلات وتسمى إطارات أو؟,عجلة
ع,المدينة الرئيسية في الدولة ومقر الحكومة والسفارات؟,عاصمة
ع,الجزء المسؤول عن التفكير والوعي والتمييز في الإنسان؟,عقل
ع,البناء الرأسي الطويل الذي يرفع السقف ويدعم المبنى أو يحمل الأسلاك؟,عمود
غ,ذرات التراب الدقيقة والخفيفة التي تتطاير في الهواء مع قوة الرياح؟,غبار
غ,حيوان بري رشيق وجميل ذو عيون واسعة تغنى به الشعراء العرب كثيراً؟,غزال

غ,الشيء الذي يوضع فوق الأوعية والأشياء لحمايتها أو إغلاقها بإحكام؟,غطاء
غ,مادة سائلة لزجة تستخدم للصق الورق والأشياء ببعضها بقوة؟,غراء
غ,المساحة المغلقة بجدران داخل المنزل وتستخدم للنوم أو الجلوس؟,غرفة
غ,النزول والسباحة تحت سطح الماء للبحث أو الاستكشاف أو الترفيه؟,غوص
غ,انفعال شديد وحالة نفسية ناتجة عن الانزعاج أو التعرض للأذى؟,غضب
غ,الجزء الخشبي المتفرع من جذع الشجرة الأساسي ويحمل الأوراق والثمار؟,غصن
غ,ما يأكله الإنسان والحيوان ليستمد منه الطاقة للبقاء على قيد الحياة؟,غذاء
ف,أداة أو شرك ينصب للإيقاع بالحيوانات واصطيادها أو بخداع شخص للإيقاع به؟,فخ
ف,وقت بداية ظهور الضوء في السماء قبل شروق الشمس وهو وقت الصلاة الأولى؟,فجر
ف,الجزء العلوي من ساق الإنسان والحيوان ويمتد من الحوض إلى الركبة؟,فخذ
ف,الشعور بالبهجة والسرور والانبساط نتيجة لحدث سعيد أو نجاح؟,فرح
ف,الابتعاد والانفصال عن الأحبة والأصدقاء بعد فترة من التواجد معهم؟,فراق
ف,مجموعة من الأشخاص يعملون أو يعزفون الموسيقى معاً كفريق واحد؟,فرقة
ف,استغلال المنصب أو السلطة لتحقيق مكاسب شخصية بطرق غير مشروعة؟,فساد
ف,عدم القدرة على تحقيق الهدف أو الرسوب في الامتحان وعكسه النجاح؟,فشل

ف,حالة العوز الشديد وعدم امتلاك المال الكافي لتلبية الاحتياجات الأساسية؟,فقر
ق,مجموعة كبيرة من الناس ينتمون لنسب وأصل واحد وتحكمهم عادات مشتركة؟,قبيلة
ق,الغرفة أو الطابق السفلي تحت مستوى سطح الأرض في المباني والمنازل؟,قبو
ق,الاشتباك والمعركة والمواجهة العنيفة بين طرفين أو جيشين باستخدام السلاح؟,قتال
ق,إنهاء حياة إنسان أو كائن حي بشكل متعمد أو عن طريق الخطأ؟,قتل
ق,الشخص الصالح أو الناجح الذي يتخذه الآخرون مثالاً يحتذى به ويقلدون أفعاله؟,قدوة
ق,الجسم المتفجر الذي يطلق من المدفع أو الدبابة لإحداث دمار في صفوف العدو؟,قذيفة
ق,القدرة على نطق وفهم الكلمات المكتوبة في الكتب والرسائل واستيعاب معانيها؟,قراءة
ق,اللص الذي يهاجم السفن في عرض البحر لسرقة حمولتها وترويع ركابها؟,قرصان
ق,المبلغ المالي الذي تأخذه من البنك ويتم سداده على أقساط شهرية؟,قرض
ق,سيقان النباتات والقمح الجافة التي تستخدم كعلف للحيوانات أو بناء الأعشاش؟,قش
ك,حالة نفسية من الحزن العميق واليأس وفقدان الرغبة في الاستمتاع بالحياة؟,كآبة
ك,الشخص الذي يؤلف الكتب والروايات والمقالات وينشرها للناس ليقرؤوها؟,كاتب
ك,المفصل البارز الذي يربط بين الساق والقدم في الطرف السفلي للإنسان؟,كاحل
ك,مصيبة كبرى وحدث مأساوي مفاجئ كالزلزال أو الفيضان يسبب دماراً كبيراً؟,كارثة
ك,بيض سمك الحفش المالح والذي يعتبر من أغلى وأفخم الأطعمة والمقبلات في العالم؟,كافيار
ك,وحدة عسكرية في الجيش تتكون من مئات الجنود ويقودها ضابط برتبة متقدمة؟,كتيبة
ك,الإخبار بغير الحقيقة وتزييف الوقائع وهو من أسوأ الصفات الأخلاقية وعكسه الصدق؟,كذب
ك,عزة النفس واحترام الذات والمكانة العالية التي يرفض الإنسان المساس بها أو إهانتها؟,كرامة
ك,فاكهة صيفية صغيرة الحجم حمراء اللون دائرية الشكل بداخلها نواة صلبة ولذيذة جداً؟,كرز
ك,الجود والسخاء وبذل المال وتقديم الطعام للضيوف والمحتاجين بطيب نفس وعكسه البخل؟,كرم
ل,السائل الأبيض الذي يستخرج من الحليب بعد خضه ويشرب كبديل صحي ومرطب؟,لبن
ل,النسيج اللحمي الوردي الذي يغطي جذور الأسنان ويثبتها في الفك داخل الفم؟,لثة
ل,الغطاء القماشي المحشو الذي يتغطى به النائم للتدفئة في ليالي الشتاء الباردة؟,لحاف
ل,النغم والتكوين الموسيقي المتناسق الذي يرافق الكلمات في الأغاني والأناشيد؟,لحن
ل,الشعر الذي ينبت في الوجه والذقن والخدين عند الرجال ويعتبر من علامات الوقار؟,لحية
ل,عملية تثبيت وربط شيئين ببعضهما باستخدام مادة الغراء أو الشريط اللاصق؟,لصق
ل,السؤال المحير والغامض الذي يحتاج لتفكير عميق وذكاء لاكتشاف حله وإجابته؟,لغز
ل,عبوة ناسفة ومخفية تزرع تحت الأرض أو الماء وتنفجر عند الدوس عليها أو الاقتراب منها؟,لغم
ل,نظام الأصوات والكلمات والقواعد الذي يستخدمه البشر للتواصل والتحدث مع بعضهم؟,لغة
ل,لسان النار المتوهج والمضيء الذي يرتفع للأعلى عند احتراق الأشياء بقوة؟,لهب
م,البرج العالي والطويل الملحق بالمسجد والذي يرفع منه المؤذن الأذان للصلوات؟,مئذنة

م,الطاولة التي يوضع ويقدم عليها الطعام والشراب ليجتمع حولها الناس للأكل؟,مائدة
م,البناء المعماري المشيد كالعمارة أو المستشفى أو المدرسة وله جدران وسقف؟,مبنى
م,المحل أو المكان المخصص لعرض وبيع السلع والمنتجات للزبائن ويسمى دكان أو؟,متجر
م,الشخص الذي يخالف القانون ويرتكب جنايات كالسرقة أو القتل ويستحق العقاب والسجن؟,مجرم
م,الشخص المؤهل قانونياً للدفاع عن المتهمين والموكلين والمرافعة عنهم في المحاكم؟,محامي
م,المحل الذي يعجن فيه الدقيق ويخبز في أفران كبيرة لبيع الخبز والمعجنات الطازجة؟,مخبز
م,الوسادة المحشوة بالقطن أو الريش التي يضع عليها النائم رأسه للراحة أثناء النوم؟,مخدة
م,الظفر الصلب والمعقوف في أقدام الطيور الجارحة والحيوانات المفترسة ويستخدم للصيد والتمزيق؟,مخلب
ن,دقات القلب وحركة الدم في الشرايين والتي يمكن الإحساس بها في المعصم والرقبة؟,نبض
ن,الحرفي والمهني الذي يعمل في قص وتشكيل الخشب وصناعة الأبواب والأثاث؟,نجار
ن,تحقيق الهدف المنشود والتفوق في الدراسة أو العمل بعد تعب واجتهاد وعكسه الفشل؟,نجاح
ن,الإغاثة والمساعدة السريعة التي تقدم للشخص المكروب أو في حالات الطوارئ والحوادث؟,نجدة
ن,الشخص أو الشيء قليل اللحم والدهن وضعيف البنية وعكسه السمين والبدين يسمى؟,نحيف
ن,رفع الصوت بمناداة شخص آخر وتوجيه الكلام له لجذب انتباهه أو الاستعانة به؟,نداء
ن,الشعور بالحسرة والأسف الشديد على فعل شيء خاطئ في الماضي وتمني لو لم يحدث؟,ندم
ن,الشخص الدنيء والجبان الذي لا يحفظ العهد ويغدر بالآخرين ولا يتصف بالشهامة؟,نذل
ن,خروج وتدفق الدم بشكل مستمر من الجسم نتيجة جرح عميق أو إصابة خطيرة؟,نزيف
ن,مجموعة الخلايا المتشابهة في الجسم أو خيوط القماش المتشابكة لتكوين الملابس؟,نسيج
هـ,الشخص الذي يفر من وجه العدالة أو السجن للاختباء وتجنب العقاب؟,هارب
هـ,النزول من مكان مرتفع إلى أسفل مثل نزول الطائرة على المدرج وعكسه الإقلاع والصعود؟,هبوط
هـ,التعدي على الأعراض والحرمات وإفشاء الأسرار وتدمير السمعة بشكل عنيف يسمى ... العرض؟,هتك
هـ,الترك والابتعاد عن المكان أو الشخص لفترة طويلة وقطع العلاقة والمواصلة معه؟,هجر
هـ,التوفيق للطريق الصحيح ومعرفة الحق والابتعاد عن الضلال وتعتبر من أعظم نعم الله على الإنسان؟,هداية
هـ,إسقاط البناء وتدمير الجدران وتخريبها ليصبح المبنى ركاماً على الأرض؟,هدم
هـ,الفرار والركض بسرعة للابتعاد عن خطر داهم أو موقف مخيف للنجاة بالنفس؟,هروب
هـ,المنطقة الأرضية المرتفعة والمسطحة الواسعة التي تكون أعلى من السهول وأقل ارتفاعاً من الجبال؟,هضبة
هـ,الموت والدمار والنهاية المأساوية التي تصيب الأقوام أو الأشخاص بسبب الحروب أو الكوارث؟,هلاك
هـ,التحدث بصوت خافت جداً ومنخفض بالقرب من الأذن بحيث لا يسمعه الآخرون؟,همس
و,المنطقة الخضراء الخصبة التي توجد في وسط الصحراء القاحلة وتحتوي على عيون ماء ونخيل؟,واحة
و,كلمة عربية فصحى تطلق على الأب وتدل على من أنجبك وتعب في تربيتك؟,والد
و,المرض المعدي والخطير الذي ينتشر بسرعة هائلة ويصيب عدداً كبيراً من الناس في منطقة واسعة؟,وباء
و,الخيط المشدود والمثبت في الآلات الموسيقية كالعود والغيتار والذي يصدر الألحان عند النقر عليه؟,وتر
و,الورقة أو المستند الرسمي والمكتوب الذي يثبت حقاً أو يسجل اتفاقاً أو معاهدة بين الأطراف؟,وثيقة
و,الإحساس بالألم الجسدي أو النفسي نتيجة مرض أو ضربة أو حزن عميق يسمى ألم أو؟,وجع
و,الطين اللزج والرخو الناتج عن اختلاط التراب بالماء بكثرة والذي يلتصق بالأحذية ويعيق المشي؟,وحل
و,الكلمات واللحظات الأخيرة التي تسبق فراق الأحبة أو المسافرين وتتخللها الدموع والأحضان؟,وداع
و,المال أو الشيء الثمين الذي يوضع كأمانة عند شخص أو بنك لحفظه على أن يسترد لاحقاً؟,وديعة
و,الوعاء الدموي الذي يحمل الدم من مختلف أنحاء الجسم ليعيده إلى القلب مرة أخرى وعكسه الشريان؟,وريد
ي,الشيء الجاف الصلب الذي فقد رطوبته وماءه بالكامل وعكس المبلل والرطب يسمى؟,يابس
ي,الشخص الذي فقد الأمل تماماً في تحقيق هدفه أو تحسن حالته واستسلم للظروف؟,يائس
ي,الطفل الذي فقد أباه وهو صغير ولم يبلغ سن الرشد بعد ويحتاج للعطف والرعاية؟,يتيم
ي,سفينة فاخرة وصغيرة ومجهزة بأحدث وسائل الراحة تستخدم للترفيه والرحلات البحرية الخاصة؟,يخت
ي,حشرة تطير ليلاً في الغابات وتشع نوراً من أسفل بطنها تسمى المضيئة أو باللغة الفصحى؟,يراع
ي,مرض يصيب الكبد ويسبب اصفراراً في لون الجلد والعينين ويصيب الأطفال حديثي الولادة غالباً؟,يرقان
ي,المرحلة الأولى في دورة حياة الحشرات كالفراشة بعد خروجها من البيضة وتشبه الدودة الصغيرة؟,يرقة
ي,الاتجاه المعاكس لليمين والذي يكون عادة جهة القلب في جسم الإنسان؟,يسار
ي,حالة الانتباه والوعي التام وعدم النوم أو الغفلة والاستعداد لأي طارئ تسمى حالة الـ؟,يقظة

أ,عنصر مشع وثقيل جداً يستخدم بشكل أساسي كوقود في المفاعلات النووية لإنتاج الطاقة؟,أورانيوم
أ,أكبر غابة استوائية مطيرة في العالم وتعتبر رئة كوكب الأرض لإنتاجها كميات هائلة من الأكسجين؟,أمازون
أ,أقدم وأشهر دورة ألعاب رياضية عالمية بدأت في اليونان القديمة وتقام كل أربع سنوات؟,أولمبياد
أ,سلالة حاكمة أسست ثاني خلافة إسلامية كبرى في التاريخ واتخذت من دمشق عاصمة لها؟,أمويين

أ,محفزات حيوية بروتينية تسرع التفاعلات الكيميائية في جسم الإنسان مثل عمليات الهضم؟,أنزيمات
أ,اسم برنامج الفضاء الأمريكي التاريخي الذي نجح في إيصال أول إنسان إلى سطح القمر؟,أبولو
أ,ملحمة شعرية يونانية قديمة وأسطورية كتبها الشاعر هوميروس وتروي قصة وتفاصيل حرب طروادة؟,إلياذة
ب,إمبراطورية عظمى كانت عاصمتها القسطنطينية وسقطت لاحقاً على يد السلطان محمد الفاتح؟,بيزنطية
ب,ديانة وفلسفة آسيوية قديمة تركز على التخلص من المعاناة الأرضية والوصول لحالة النيرفانا؟,بوذية
ب,عالم كيميائي فرنسي اكتشف عملية التعقيم للقضاء على الجراثيم في الحليب وسميت العملية باسمه؟,باستور
ب,جسم معلق بخيط يتأرجح بحرية ذهاباً وإياباً واستخدم قديماً لضبط الوقت في الساعات الجدارية؟,بندول
ب,الحالة الرابعة للمادة وتتكون من غاز شديد التأين وتوجد بشكل طبيعي في النجوم والبرق؟,بلازما
ب,سوق مالي عالمي ومحلي منظم ومقنن يتم فيه بيع وشراء أسهم الشركات والسندات الاستثمارية؟,بورصة
ب,موسيقار ألماني عبقري ألف أعظم المقطوعات السيمفونية في التاريخ رغم إصابته بالصمم التام في كبره؟,بتهوفن
ب,جسيم دون ذري يحمل شحنة كهربائية موجبة ويوجد متمركزاً داخل نواة الذرة؟,بروتون
ت,أمواج بحرية عاتية ومفاجئة تنتج عن زلازل أو انزلاقات أرضية عنيفة في قاع المحيط وتدمر السواحل؟,تسونامي
ت,فن التخطيط العسكري والتنظيم الميداني في المعارك أو الألعاب الرياضية لتحقيق الهدف وهزيمة الخصم؟,تكتيك
ت,محرك دوار ميكانيكي يحول طاقة الموائع كالهواء أو الماء المندفع إلى طاقة حركية مفيدة لتوليد الكهرباء؟,توربين
ت,التطبيق العملي والحديث للعلوم والمعرفة في صناعة الأدوات والأجهزة لخدمة وتسهيل حياة البشر؟,تكنولوجيا
ت,فرع من فروع علم الفيزياء يدرس العلاقة المعقدة بين الحرارة والطاقة والشغل الحركي؟,ترموديناميكا
ت,إعطاء جرعة مخففة أو ميتة من الميكروب للجسم لتحفيز جهاز المناعة على إنتاج أجسام مضادة تقيه مستقبلاً؟,تطعيم
ت,علم طبي وبيولوجي يدرس بنية وتركيب أجزاء وأعضاء الكائنات الحية البشرية والحيوانية بالتفصيل؟,تشريح
ت,روائي ومفكر روسي عظيم من أشهر أعماله الأدبية الخالدة الرواية الملحمية (الحرب والسلم)؟,تولستوي
ث,جهاز كهربائي دقيق يستخدم لتنظيم والتحكم في درجة الحرارة داخل الأنظمة المغلقة كالمكيفات والمحركات؟,ثرموستات
ث,نظام حكم سياسي قديم تستمد فيه السلطة شرعيتها وقوانينها من رجال الدين والمؤسسات الدينية؟,ثيوقراطية
ث,نظام عددي حاسوبي يعتمد على رقمين فقط هما الصفر والواحد ويعتبر لغة البرمجة الأساسية للآلات؟,ثنائي
ث,حركة تحول كبرى بدأت في بريطانيا بانتقال آليات الإنتاج من العمل اليدوي إلى الآلات والمصانع الضخمة؟,ثورة صناعية
ث,حيوان زاحف مائي شديد السمية يعيش في المحيطات الاستوائية الدافئة ويستطيع كتم أنفاسه طويلاً تحت الماء؟,ثعبان بحر
ث,شكل هندسي مضلع يتكون من ثمانية أضلاع محيطة وزوايا داخلية متساوية في القياس؟,ثماني
ث,الاسم الشائع لثاني أكسيد الكربون في حالته الصلبة ويستخدم في التبريد الكيميائي السريع وحفظ الأدوية؟,ثلج جاف
ث,عنصر كيميائي مشع يستخدم كوقود آمن وبديل لليورانيوم في الجيل الجديد من المفاعلات النووية؟,ثوريوم
ج,قوة فيزيائية كونية غير مرئية تجذب الأجسام ذات الكتلة نحو مركز بعضها البعض وتحفظ توازن الكواكب؟,جاذبية
ج,الوحدات البيولوجية الأساسية للوراثة في الكائنات الحية وتتكون من تسلسلات معقدة لحمض الـ دي إن إيه؟,جينات
ج,نظام حكم سياسي يختار فيه الشعب ممثليه ورئيسه عبر الانتخابات وصناديق الاقتراع وليس بالوراثة الملكية؟,جمهورية
ج,أصغر وحدة في المركب الكيميائي تحتفظ بالخصائص الكيميائية والفيزيائية لذلك المركب بشكل مستقل؟,جزيء
ج,علم طبيعي يختص بدراسة بنية كوكب الأرض وتكوينها الصخري وتاريخها والعمليات التي تشكل تضاريسها؟,جيولوجيا
ج,السكر البسيط والأساسي الذي يدور في مجرى الدم ويعتبر المصدر الرئيسي والأول لطاقة خلايا الجسم؟,جلوكوز
ج,الخريطة الوراثية الكاملة التي تحتوي على كافة المعلومات والتسلسلات الجينية لخلية الكائن الحي؟,جينوم
ج,مؤسس وقائد الإمبراطورية المغولية الشرسة التي تعتبر أكبر إمبراطورية أراضٍ متصلة في تاريخ البشرية؟,جنكيز خان
ح,صراع سياسي وعسكري واستخباراتي غير مباشر امتد لعقود طويلة بين المعسكرين الشرقي والغربي بعد الحرب العالمية؟,حرب باردة
ح,البقايا أو الآثار المحفوظة في الصخور للكائنات الحية القديمة التي عاشت في العصور الجيولوجية السحيقة؟,حفريات
ح,مركب كيميائي يتميز بطعمه اللاذع وقدرته العالية على التفاعل مع القواعد لإنتاج الأملاح والماء؟,حمض
ح,ألياف بروتينية طبيعية ناعمة وقوية جداً تنتجها وتغزلها دودة القز وتصنع منها أفخر وأغلى الأقمشة؟,حرير
ح,عضلة مسطحة وقوية تفصل بين تجويف الصدر وتجويف البطن وتلعب دوراً رئيسياً في عملية التنفس للإنسان؟,حجاب حاجز
ح,منظمة عسكرية دولية كبرى تأسست لحماية الدول الأعضاء من أي هجوم مسلح خارجي وتعرف بحلف شمال الأطلسي؟,حلف الناتو
ح,الحق الطبيعي للإنسان في التعبير عن رأيه واتخاذ قراراته وممارسة معتقداته دون إجبار أو قيود قمعية؟,حرية
ح,الجزيء البيولوجي المعقد الذي يحمل التعليمات الجينية المسؤولة عن نمو وتطور وعمل جميع الكائنات الحية؟,حامض نووي
خ,عالم مسلم عظيم يعتبر مؤسس علم الجبر ومكتشف ومطور نظام الأرقام الهندية العربية المستخدمة اليوم؟,خوارزمي
خ,نوع من الأنيميا الوراثية الخطيرة تأخذ فيها كريات الدم الحمراء شكلاً هلالياً غير طبيعي يعيق تدفق الدم؟,خلايا منجلية
خ,ظاهرة فلكية تحدث عندما تقع الأرض على خط مستقيم بين الشمس والقمر فتحجب نور الشمس عنه تماماً؟,خسوف
خ,مادة تصنع من الطين المعالج والمحروق في درجات حرارة عالية جداً وتستخدم في صناعة الأواني والتحف الفنية؟,خزف
خ,الوحدات الأساسية والحساسة التي تنقل الإشارات النبضية داخل الدماغ وشبكة جهاز الإنسان العصبي؟,خلايا عصبية
خ,حيوان ثديي غريب وبرمائي يستوطن أستراليا يمتلك منقاراً كالبط ويضع البيض ولا يلد كباقي الثدييات؟,خلد الماء
خ,الخط الجغرافي الوهمي الذي يقسم الكرة الأرضية عرضياً إلى نصفين متساويين شمالي وجنوبي ودرجة عرضه صفر؟,خط الاستواء
خ,الممارسة الفلسفية القديمة التي حاولت تحويل المعادن الرخيصة كالرصاص إلى ذهب وتعتبر سلف علم الكيمياء؟,خيمياء
د,نظام سياسي يعني حرفياً (حكم الشعب) وتتخذ فيه القرارات بناء على تصويت الأغلبية ومشاركة المواطنين؟,ديمقراطية
د,فن إدارة العلاقات السياسية والمفاوضات المعقدة بين الدول لحل النزاعات بطرق سلمية وتجنب الحروب؟,دبلوماسية
د,ناقل عصبي كيميائي وهرمون يفرزه الدماغ ويلعب دوراً رئيسياً في الشعور بالمكافأة والتحفيز والسعادة؟,دوبامين
د,فرع من علم الميكانيكا الفيزيائية يدرس القوى المسببة لحركة الأجسام المادية وتأثير تلك القوى عليها؟,ديناميكا
د,نظام حكم سياسي شمولي وقمعي تتركز فيه السلطة المطلقة في يد شخص واحد أو حزب ولا يسمح بالمعارضة؟,دكتاتورية

د,السجلات والمقرات الحكومية الإدارية التي أسسها الخليفة عمر بن الخطاب لتنظيم شؤون الدولة الإسلامية مالياً وعسكرياً؟,دواوين
د,فيلسوف وعالم رياضيات فرنسي عظيم يعتبر أباً للفلسفة الحديثة وصاحب المقولة الشهيرة (أنا أفكر، إذن أنا موجود)؟,ديكارت
ذ,فرع متطور من علوم الحاسوب يهدف لابتكار آلات وخوارزميات تحاكي القدرات الذهنية وطرق تفكير البشر؟,ذكاء اصطناعي
ذ,التهاب حاد ومعدٍ يصيب الحويصلات الهوائية في إحدى الرئتين أو كلتيهما مسبباً صعوبة شديدة وآلاماً في التنفس؟,ذات الرئة
ذ,حشرة إفريقية خطيرة جداً تنقل طفيليات مدمرة تسبب مرض النوم القاتل للإنسان والحيوانات؟,ذباب تسي تسي
ذ,مرض مناعي ذاتي مزمن ومعقد يهاجم فيه جهاز المناعة عن طريق الخطأ أنسجة وأعضاء الجسم السليمة؟,ذئبة حمراء
ذ,ظاهرة بيئية خطيرة ناتجة عن التغير المناخي والاحتباس الحراري تهدد بارتفاع منسوب مياه المحيطات عالمياً؟,ذوبان جليدي
ذ,مصطلح فيزيائي وعسكري يطلق على الطاقة الهائلة والمفزعة الناتجة عن انشطار أو اندماج نواة العنصر المشع؟,ذري
ذ,طلقات نارية حقيقية تحتوي على مقذوف معدني ومادة متفجرة تستخدم في المعارك والحروب الفعلية وليس للتدريب؟,ذخيرة حية
ذ,اللقب التاريخي الذي أطلق على الصحابي الجليل والخليفة الثالث عثمان بن عفان لزواجه من ابنتي رسول الله؟,ذو النورين
ر,آلة ميكانيكية أو إلكترونية ذكية مبرمجة للقيام بمهام معقدة وشاقة أو دقيقة بدلاً من الجهد البشري؟,روبوت
ر,نظام اقتصادي عالمي يعتمد على الملكية الخاصة لوسائل الإنتاج وتشغيله في الأسواق الحرة لتحقيق الربح وتراكم الثروة؟,رأسمالية
ر,تقنية تصوير طبي متطورة وآمنة تستخدم مجالات كهرومغناطيسية قوية لتكوين صور دقيقة ومفصلة لأعضاء الجسم الداخلية؟,رنين مغناطيسي

ر,مقياس علمي لوغاريتمي دولي ومفتوح ابتكره عالم أمريكي ويستخدم لقياس وتسجيل قوة وشدة الهزات الأرضية والزلازل؟,ريختر
ر,دولة إفريقية قهرت الصعاب وشهدت إبادة جماعية مروعة في التسعينيات ثم نهضت لتصبح من أنظف وأكثر الدول تطوراً؟,رواندا
ر,عمل أدبي نثري طويل يروي قصة متسلسلة تعتمد على الخيال أو الواقع وتضم شخصيات وحبكة درامية معقدة؟,رواية
ر,العضو الأنثوي العضلي المجوف الذي يحتضن البويضة المخصبة ويغذي الجنين طوال فترة الحمل وحتى لحظة الولادة؟,رحم
ز,عضو ليمفاوي صغير يقع في بداية الأمعاء الغليظة للإنسان وقد يتعرض لالتهاب حاد ومفاجئ يستدعي استئصاله جراحياً؟,زائدة دودية
ز,عنصر كيميائي شديد السمية لا لون ولا طعم له اشتهر استخدامه قديماً في حوادث الاغتيالات والتسميم السياسي السري؟,زرنيخ
ز,الركن الثالث من أركان الإسلام وهو مقدار محدد شرعاً من المال يخرج سنوياً للفقراء والمستحقين لتطهير الثروة؟,زكاة
ز,المعابد المدرجة والهرمية الشكل التي بناها السومريون والبابليون في بلاد الرافدين القديمة للتقرب من آلهتهم؟,زقورة
ز,زهرة ربيعية جميلة ذات ألوان زاهية اتخذتها الإمبراطورية العثمانية رمزاً لها وتشتهر بها هولندا وتصدرها عالمياً حالياً؟,زهرة التوليب
ز,البئر المقدسة والمباركة في مكة المكرمة التي تفجرت تحت قدمي النبي إسماعيل عليه السلام بأمر الله ولا زالت تتدفق؟,زمزم
ز,موسيقي ومغني عباسي شهير أحدث ثورة كبرى في الموسيقى الأندلسية وأضاف الوتر الخامس للعود وأسس قواعد الإتيكيت؟,زرياب
ز,الزاوية الهندسية الأساسية التي يبلغ قياسها 90 درجة وتتكون من تعامد خطين مستقيمين تماماً؟,زاوية قائمة
س,فيلسوف يوناني كلاسيكي عظيم أُجبر على تجرع السم بسبب أفكاره التنويرية ويعتبر المؤسس الحقيقي للفلسفة الغربية؟,سقراط
س,حركة فنية وأدبية حديثة تعتمد على التعبير عن العقل الباطن والأحلام والصور الغريبة وغير المنطقية كمدرسة سلفادور دالي؟,سريالية
س,تقنية بحرية تستخدم انتشار وانعكاس الموجات الصوتية تحت الماء للتنقل أو للكشف عن الغواصات وقياس أعماق المحيط؟,سونار
س,مقطوعة موسيقية كلاسيكية طويلة ومؤلفة خصيصاً لتعزفها الأوركسترا الكاملة وتتكون عادة من أربع حركات متناغمة؟,سمفونية
س,عنصر شبه موصل يستخدم بكثرة في صناعة الرقائق الإلكترونية وسمي وادي أمريكي شهير للتقنية باسمه؟,سيليكون
س,إحدى السلطات الثلاث الأساسية في الدولة ومهمتها تنفيذ القوانين وإدارة الشؤون اليومية والسياسية للبلاد والمواطنين؟,سلطة تنفيذية
س,وحدة قياس فلكية هائلة تمثل المسافة التي يقطعها الضوء في الفراغ خلال مدة زمنية قدرها سنة أرضية كاملة؟,سنة ضوئية
س,العلم الأكاديمي والتطبيقي الذي يدرس السلوك البشري والعمليات العقلية ودوافع الإنسان وطرق تفكيره؟,سيكولوجيا
ش,نظام سياسي واقتصادي شمولي يهدف إلى إلغاء الملكية الخاصة لوسائل الإنتاج وإقامة مجتمع موحد بلا طبقات اجتماعية؟,شيوعية
ش,أكبر وأهم شريان في جسم الإنسان ويقوم بتوزيع الدم النقي والمؤكسج من القلب المندفع إلى باقي جميع الأعضاء؟,شريان أورطي
ش,مجموعة القواعد والتعليمات الكيميائية المخزنة في الحمض النووي والتي تحدد صفات الكائن الحي وتنتقل بالوراثة؟,شفرة وراثية
ش,مساحة شاسعة من اليابسة تحيط بها مياه البحر من ثلاث جهات فقط وتتصل باليابسة الأم من الجهة الرابعة وتسمى؟,شبه جزيرة
